ID,Name,Description,Specifications
16,Alcis Men Charcoal Grey Solid Sports Sweatshirt,"
Áo sweatshirt thể thao màu xám đậm trơn với hiệu ứng melange, có cổ tròn, tay dài, gấu áo bo. Được thiết kế với công nghệ kháng khuẩn. Sản phẩm này phù hợp để sử dụng vào mùa thu.","Giặt: Giặt bằng máy
Tay áo: Tay dài
Chất liệu: 100% polyester cationic."
17,Alcis Men Navy Blue Solid Stand Collar T-shirt,"Tạo dấu ấn cho riêng bạn mùa này với chiếc áo T-shirt phong cách từ Alcis. Dù bạn đi chạy bộ hay đến phòng gym, hãy kết hợp chiếc áo này với quần short trơn để có phong cách thể thao.","Chất liệu: 60% cotton, 40% polyester
Chiều dài tay: Tay ngắn
Cổ: Cổ polo."
18,Alcis Solid Brown Track Pants,Quần ALCIS cho nam này là sự kết hợp hoàn hảo giữa phong cách và sự thoải mái. Những chiếc quần này được trang bị công nghệ Soft-Touch giúp tăng cường sự thoải mái. Kết hợp nó với một chiếc áo T-shirt và giày thể thao để có diện mạo hoàn chỉnh.,"Giặt: Giặt tay
Thành phần chất liệu: 100% cotton
Dòng sản phẩm: Yoga."
19,Alcis Charcoal Grey Self Design Tights,"Được thiết kế để đáp ứng nhu cầu tập luyện của bạn, chiếc quần legging này từ Alcis sẽ là lựa chọn hoàn hảo. Kết hợp nó với một chiếc áo T-shirt và giày thể thao để có diện mạo hoàn chỉnh.","Thành phần chất liệu: 90% polyester, 10% lycra Foma
Giặt: Giặt tay."
20,Alcis Men Yellow Solid Polo Collar T-shirt,Thể hiện bản thân với áo polo ALCIS giúp bạn luôn thoải mái và tăng cường hiệu suất. Nó chống mồ hôi và mùi cơ thể để bạn có thể tập trung vào việc tập luyện. Đây là lựa chọn hoàn hảo cho các buổi tập thể thao.,"Thành phần vải: 60% COTTON 40% POLYESTER PIQUE
Cổ: Polo
Chăm sóc giặt: Giặt máy"
21,Alcis Navy Blue Printed Detail Hooded Sweatshirt,"Bạn không thể dự đoán thời tiết nhưng có thể chuẩn bị cho nó. Hãy mặc chiếc áo sweatshirt ALCIS này khi thời tiết trở nên khó lường, và thực hiện những bước chạy hàng ngày của bạn. Đây sẽ là sản phẩm rất cần thiết cho mùa đông này.","Thành Phần vải: 70% Cotton 30% Lông Cừu Polyester
Tay áo: Tay áo dài"
22,Alcis Charcoal Grey Solid Sporty Jacket,"Áo khoác thể thao màu xám đậm trơn, có cổ giả, 2 túi, khóa kéo, tay dài, gấu áo thẳng, có lớp lót bằng cotton. Kết hợp nó với quần jogger để tạo nên phong cách thật ngầu.","Vải: 100% Polyester
Chiều dài tay áo: Tay áo dài
Đan/Dệt: Dệt kim"
23,Alcis Men Black Solid Hooded Tracksuit,"Bộ đồ thể thao màu đen trơn với chi tiết bên hông. Áo khoác màu đen trơn có mũ, tay dài, khóa kéo và 2 túi. Quần jogger màu đen trơn có cạp thun, dây rút, 2 túi và gấu quần thẳng.","Vải: 100% Polyester Vải chéo
Tay áo: Tay áo dài
Giặt: Giặt tay"
24,Alcis Men Green Solid Round Neck T-shirt,"Thể hiện bản thân với áo T-shirt ALCIS giúp bạn luôn thoải mái và tăng cường hiệu suất. Nó chống mồ hôi và mùi cơ thể để bạn có thể tập trung vào việc tập luyện, rất phù hợp cho các buổi tập thể thao.","Vải: 100% Polyester
Chiều dài tay áo: Tay áo một nửa
Chăm sóc giặt: Giặt máy"
25,Alcis Men Blue Solid Polo Collar T-shirt,Hãy để mọi người ngưỡng mộ phong cách của bạn trong khi bạn tập trung vào việc luyện tập với chiếc áo polo màu xanh tuyệt đẹp từ bộ sưu tập mới nhất của ALCIS. Đây là sản phẩm hoàn hảo cho bộ sưu tập mùa thu của bạn.,"Vải: 50% Cotton 50% Polyester Mắt Chim
Cổ: Cổ áo Polo
Chăm sóc giặt: Giặt máy"
26,Alcis Men Navy Blue Solid Polo Collar T-shirt,Hãy để mọi người ngưỡng mộ phong cách của bạn trong khi bạn tập trung vào việc luyện tập thể thao với chiếc áo polo tuyệt đẹp từ bộ sưu tập mới nhất của ALCIS.,"Vải: 100% Polyester
Chiều dài tay áo: Tay áo một nửa
Chăm sóc giặt: Giặt máy"
27,Alcis Men Blue Self Design Polo Collar T-shirt,Tập trung hoàn toàn vào việc rèn luyện chăm chỉ với sự hỗ trợ hoàn hảo từ chiếc áo polo màu navy tuyệt vời này từ bộ sưu tập mới nhất của ALCIS. Sản phẩm này rất phù hợp để sử dụng vào mùa thu.,"Vải: 100% Polyester
Chiều dài tay áo: Tay áo một nửa
Chăm sóc giặt: Giặt máy"
28,Alcis Maroon Solid Hooded Running Jacket,"Áo khoác chạy màu đỏ mận trơn với các công nghệ Antistatix, Drytech+ và Stretch X. Ngoài việc phù hợp để sử dụng vào mùa đông, sản phẩm này cũng rất thích hợp cho các buổi tập luyện thể thao.","Vải: 83% Polyester 17% Spandex chải Cationic
Giặt: Giặt tay 
Chiều dài tay áo: Tay áo dài"
29,Alcis Teal Blue Solid Hooded Sporty Jacket,Chìa khóa để đối phó với thời tiết lạnh là tìm kiếm những lớp trang phục phù hợp. Hãy mặc chiếc áo khoác ALCIS này và giữ cho bạn luôn thoải mái trong từng bước chạy cuối cùng. Đây là lựa chọn hoàn hảo cho mùa thu se lạnh.,"Thành phần vải: 100% Polyester Full Dull Yarn Foma
Tay áo: Dài
Giặt: Giặt máy"
30,Alcis Charcoal Grey Solid Sporty Jacket,"Được chế tác tinh xảo từ chất liệu poly cotton cao cấp cho độ bóng tuyệt vời, kết hợp hoàn hảo giữa sự thoải mái và độ bền. Kết hợp nó với quần jogger để tạo nên phong cách thật ngầu.","Vải: 60% Cotton, 40% Polyester Fleece
Giặt: Giặt máy"
31,Alcis Navy Blue Solid Sporty Jacket,"Tỏa sáng trên đường phố với chiếc áo khoác thể thao cổ cao dáng ôm từ ALCIS. Được chế tác từ chất liệu polyester cao cấp, áo sẽ rất mềm mại với làn da. Sản phẩm này rất phù hợp để sử dụng vào mùa thu.","Vải: 100% Polyester Foma
Giặt: Giặt máy
Tay áo: Dài"
32,Alcis Red & Off-White Solid Polo Collar T-shirt,Thêm chiếc áo T-shirt Alcis thời trang này vào tủ đồ tập gym của bạn để luôn cảm thấy mát mẻ và thoải mái trong những buổi tập luyện thể thao ra mồ hôi. Kết hợp nó với quần jogger để tạo nên phong cách thật ngầu.,"Vải: 100% Polyester Mockeyelet Mesh
Tay áo: Ngắn
Giặt: Giặt tay"
33,Alcis Men White Solid Round Neck T-shirt,"Áo T-shirt ALCIS, nhẹ nhàng và mượt mà với khả năng linh hoạt, là lựa chọn hoàn hảo cho tất cả các bài tập cường độ cao của bạn. Đây sẽ là một sự lựa chọn không thể thiếu trong mùa hè của bạn.","Thành phần vải: 60% Cotton, 40% Polyester Single Jersey
Tay áo: Ngắn
Giặt: Giặt tay"
34,Alcis Solid Sporty Jacket,Thêm chút phong cách hiện đại cho những buổi chạy bộ sáng sớm của bạn với chiếc áo khoác thể thao màu xanh tuyệt đẹp từ bộ sưu tập mới nhất của ALCIS. Kết hợp nó với quần jogger tương phản để hoàn thiện bộ trang phục.,"Vải: 70% Cotton, 30% Polyester Fleece
Giặt: Giặt máy"
35,Alcis Men Solid Round Neck Yoga T-shirt,Hãy sắm cho mình một chiếc áo T-shirt cổ tròn bền bỉ và hướng đến hiệu suất từ ALCIS. Kết hợp nó với quần jogger để tạo nên phong cách thật ngầu.,"Vải: 85% Excel, 15% Linen
Tay áo: Ngắn
Giặt: Giặt tay"
36,Alcis Grey & Black Printed V-Neck T-shirt,Thêm chiếc áo T-shirt Alcis thời trang này vào tủ đồ tập gym của bạn để luôn cảm thấy mát mẻ và thoải mái trong những buổi tập luyện thể thao ra mồ hôi.,"Vải: 60% Cotton, 40% Polyester Single Jersey
Giặt: Giặt máy
Tay áo: Ngắn"
37,Alcis Grey Solid Running Jacket,"Áo khoác thể thao trơn, có cổ giả, 2 túi, khóa kéo, tay dài, gấu áo thẳng và lót polyester.","Vải: 70% Cotton, 30% Polyester Fleece
Tay áo: Dài"
38,Alcis Grey Solid Cropped Track Pants,"Được làm từ chất liệu cotton poly cao cấp mang lại cảm giác mềm mại, mịn màng và nhẹ nhàng với sự thoải mái tuyệt vời và độ bền lâu dài. Hãy kết hợp chúng với một chiếc áo phông thể thao tương phản để hoàn thiện bộ trang phục.","Vải: 100% Polyester
Giặt: Giặt máy
Dịp sử dụng: Thể thao"
39,Alcis Yellow & Blue Colorblocked Tights,"Được làm bằng polyester co giãn chất lượng cao mang lại sự linh hoạt và cảm giác mềm mại, mịn màng và nhẹ với sự thoải mái tuyệt vời và độ bền lâu dài. Hãy kết hợp chúng với áo thun thể thao để hoàn thiện bộ trang phục.","Thành phần vải: 90% Polyester, 10% Lycra Foma
Giặt: Giặt tay"
40,ADIVA Girls Black Embellished Maxi Dress,"Chiếc đầm maxi màu đen đính kết, dệt kim và dệt thoi, có cổ chữ V, không tay, lớp lót liền, chi tiết xếp ly và bèo nhún, cùng gấu váy xòe. Trang phục này rất phù hợp cho những sự kiện quan trọng như lễ trao giải, v.v.","Vải: 80% Lưới, 20% Polyester
Giặt: Giặt tay"
41,ADIVA Girls Pink Maxi Dress,"Chiếc đầm maxi màu hồng trơn, được dệt kim và dệt thoi, có cổ chữ V, không tay, lớp lót liền và gấu váy xòe. Trang phục này rất phù hợp cho những sự kiện quan trọng như lễ trao giải, v.v.","Vải: Polyester
Giặt: Giặt tay"
42,ADIVA Girls Blue Fit and Flare Dress,"Chiếc đầm màu xanh trơn dáng ôm và xòe, có dây quai vai, không tay, lớp lót liền và gấu váy xòe. Trang phục này rất phù hợp cho những sự kiện quan trọng như lễ trao giải, v.v.","Vải: 80% Lưới, 20% Polyester
Giặt: Giặt tay"
43,ADIVA Girls Red Self-Design Fit and Flare Dress,"Chiếc đầm ôm và xòe màu đỏ với họa tiết tự thiết kế, được dệt kim và dệt thoi, có cổ chữ V, không tay, lớp lót liền và gấu váy xòe. Trang phục này rất phù hợp cho những sự kiện quan trọng như lễ trao giải, v.v.","Vải: Polyester
Giặt: Giặt tay"
44,ADIVA Girls Fit and Flare Dress,"Chiếc đầm ôm và xòe màu xám trơn, được dệt kim và dệt thoi, có cổ chữ V, không tay, lớp lót liền và gấu váy xòe với chi tiết đính kết ở eo và gấu váy.","Vải: Polyester
Giặt: Giặt tay"
45,Girls Yellow Fit and Flare Dress,"Với tay áo ngắn xòe vui nhộn và thiết kế đa năng, chiếc đầm này là mảnh ghép chuyển đổi hoàn hảo cho bất kỳ dịp nào. Dù là bữa tiệc sinh nhật hay đám cưới, chiếc đầm này sẽ giúp bạn nổi bật một cách phong cách! Kết hợp với các phụ kiện khác nhau để tạo nên những phong cách vui tươi, đa dạng.","Vải: Viscose 100%
Giặt: Giặt với các màu tương tự"
46,Ahalyaa Women White & Blue Printed Anarkali Kurta,"Chiếc kurta Anarkali in họa tiết màu trắng, xanh và vàng với áo khoác liền, có cổ tròn, tay lửng và gấu váy xòe. Dù là bữa tiệc sinh nhật hay đám cưới, trang phục này sẽ giúp bạn nổi bật với phong cách đầy cuốn hút.","Vải: 100% Cotton
Giặt: Giặt với các màu tương tự"
47,Ahalyaa Women Black & Pink Printed A-Line Kurta,"Chiếc kurta A-line in họa tiết màu đen, hồng và xanh, có cổ tròn, không tay và gấu váy xòe. Dù là bữa tiệc sinh nhật hay đám cưới, trang phục này sẽ giúp bạn nổi bật với phong cách đầy cuốn hút.","Vải: Poly crepe
Giặt: Giặt với các màu tương tự"
48,Ahalyaa Women Blue & White Checked Straight Kurta,"Đưa thời trang cao cấp vào tủ quần áo của bạn với chiếc kurta không tay màu trắng và xanh này của Ahalyaa. Dù là tiệc sinh nhật hay đám cưới, chiếc váy này sẽ giúp bạn trở nên thật phong cách","Vải: 60% COTTON 40% POLYESTER SINGLE JERSEY
Giặt: Giặt tay"
49,612 league Boys Blue Solid Polo Collar T-shirt,"Nhà vô địch nhỏ của bạn chắc chắn sẽ trông thật ngầu và phong cách khi mặc chiếc áo phông polo màu xanh hoàng gia này từ 612 League. Được làm từ cotton với cổ polo và tay áo dài, chiếc áo phông này thoải mái cho các hoạt động tập luyện thể thao","Vải: 80% Net, 20% Polyester
Giặt: Giặt tay"
50,612 league Boys Blue Solid Track Pants,"Cậu bé nhỏ của bạn sẽ trở thành người đi đầu xu hướng trong nhóm của mình khi mặc quần chạy bộ màu xanh thời trang này từ 612 League Kids. Cậu bé sẽ thích mặc quần thể thao thông minh này, nhờ vào chất liệu vải cotton của chúng.","Vải: Poly crepe
Giặt: Giặt với các màu tương tự"
51,7Rainbow Pink & Beige Printed Bandhani Saree,"Thanh lịch và thoải mái, chiếc sari truyền thống từ 7Rainbow này là lựa chọn lý tưởng cho bất kỳ tín đồ thời trang nào. Hãy kết hợp thiết kế màu hồng này với giày cao gót dây và trang sức nổi bật khi bạn tham dự tiệc tối sang trọng.","Vải: Linen blend
Giặt: Giặt tay"
52,7Rainbow Beige & Blue Checked Saree,Cập nhật những món đồ thiết yếu trong tủ quần áo của bạn với chiếc sari hàng ngày tinh tế từ 7Rainbow. Thiết kế màu be này có thể kết hợp với đôi giày cao gót thanh lịch và trang sức bạc tối giản cho buổi tiệc tối sang trọng của bạn.,"Vải: Linen blend
Giặt: Giặt tay"
53,7Rainbow Yellow & Orange Checked Saree,Cập nhật những món đồ thiết yếu trong tủ quần áo của bạn với chiếc sari hàng ngày tinh tế từ 7Rainbow. Thiết kế màu be này có thể kết hợp với đôi giày cao gót thanh lịch và trang sức bạc tối giản cho buổi tiệc tối sang trọng của bạn.,"Vải: Linen blend
Giặt: Giặt tay"
54,Aask Women Turquoise Blue Embroidered Tunic,Kurta hợp thời trang này của Naari sẽ nâng cao phong cách cá nhân của bạn. Kết hợp trang phục này với giày bệt đính đá và trang sức tối giản để có bộ trang phục ấn tượng trong bữa tiệc tối sang trọng,"Vải: Pure Cotton
Giặt: Giặt tay"
55,Aber & Q Women Pink Solid Peep Toes,Hãy thay đôi giày cao gót thông thường của bạn bằng đôi giày cao gót Aber & Q hợp thời trang này và tận hưởng diện mạo mới của bạn. Đôi giày màu hồng này phù hợp với cả trang phục trang trọng và giản dị. Rất thích hợp cho mùa thu lãng mạn của bạn,Giặt: Lau bằng khăn sạch và khô để loại bỏ bụi
56,Abhishti Women Beige & Black Printed A-Line Kurta,"Bạn sẽ yêu thích phong cách, sự thoải mái và độ bền của chiếc Abhishti Kurta này. Trông thật lộng lẫy trong bữa tiệc tối sang trọng với chiếc kurta và quần legging màu be này.","Vải: Dupatta Silk
Giặt: Giặt tay, không phơi trực tiếp dưới ánh nắng mặt trời"
57,AHIKA Women Multicoloured Striped Straight Kurta,Vải cotton nguyên chất độc quyền của Ahika với nhiều màu sắc hấp dẫn Sẵn sàng để mặc Kurta với quần sẽ đảm bảo rằng sự phù hợp của Kurta may sẵn xinh đẹp này trông thật thanh lịch trên bạn,"Vải: Cotton
Giặt: Giặt tay, không phơi trực tiếp dưới ánh nắng mặt trời"
58,Abhishti Women Maroon Solid Straight Kurta,"Sở hữu vẻ ngoài hoàn hảo bằng cách khoác lên mình chiếc kurta màu nâu này của Abhishti. Dù là tiệc sinh nhật hay đám cưới, chiếc váy này sẽ giúp bạn trở nên thật phong cách","Vải: 75% Cotton, 25% Viscose
Giặt: Giặt máy"
59,AccessHer Gold-Plated Meenakari Jewellery Set,"Bộ trang sức này bao gồm một chiếc vòng cổ và một đôi bông tai. Vòng cổ đính đá mạ vàng màu xanh lá cây và trắng với chi tiết đính kundan, được cố định bằng dây rút","Chất liệu: Brass
Đá: Kundan
Mạ: Mạ vàng"
61,ADORENITE Women Blue Solid Satin Night suit,"Cho dù bạn đang thư giãn ở nhà hay chuẩn bị đi ngủ, bộ đồ ngủ này của ADORENITE mang lại sự thoải mái cực độ và có thể được coi là một món đồ thiết yếu trong tủ quần áo. Đó là sự lựa chọn đúng đắn cho mùa thu của bạn","Vải: Canvas, Cotton
Giặt: Giặt tay"
62,ADORENITE Women White Solid Sleep Shirt,"Màu trắng và ren, chiếc váy ngủ này của ADORENITE là một lựa chọn trang phục ngủ nữ tính và tinh tế. Đó là sự lựa chọn đúng đắn cho mùa thu của bạn","Vải: 100% Cotton
Giặt: Giặt máy"
64,Bella Tank,"Phong cách, hiệu suất và sự thoải mái hòa quyện trong Bella Tank. Với độ tương phản khối màu nổi bật, kiểu dáng vừa vặn và áo lót liền, bạn sẽ vừa được thoải mái vừa sành điệu. Đây có thể là một chiếc áo phù hợp với buổi tập luyện thể thao hiệu quả","Vải: 75% Cotton, 25% Viscose
Giặt: Giặt máy"
65,Alcis Women Grey Solid Running Jacket,Mặc chiếc áo khoác năng động của Alcis. Món đồ này có thể kết hợp với quần jogger thoải mái để bạn có một buổi luyện tập thể thao hiệu quả,"Vải: 100% Cotton
Giặt: Giặt máy"
66,Josie Yoga Jacket,Yoga Josie sẽ giúp tâm trí và cơ thể bạn sẵn sàng. Chất liệu vải Cotton co giãn với các túi có khóa kéo khiến chiếc áo khoác này trở thành trang bị phù hợp cho thời gian ở studio hoặc giờ uống trà sau đó.,"Vải: 75% Cotton, 25% Viscose
Giặt: Giặt máy"
67,Alcis Women Grey & Black Printed V-Neck T-shirt,Chiếc áo thun cotton màu trắng Dollar Missy này sẽ tăng thêm tính linh hoạt cho tủ quần áo của bạn. Biến món đồ màu trắng giản dị này thành trang phục buổi tối thích hợp khi bạn kết hợp nó với quần jean denim mỏng và giày cao gót yêu thích của bạn.,"Vải: 100% Polyester
Giặt: Giặt máy"
68,Alcis Men Green Solid Round Neck Yoga T-shirt,Bạn chắc chắn sẽ có phong cách riêng với chiếc áo phông cotton này. Chiếc áo sơ mi màu xanh nước biển này là sự kết hợp hoàn hảo với quần jeans skinny khi bạn đang tìm kiếm một buổi tối đơn giản ở quán bar.,"Vải: 100% Cotton
Giặt: Giặt máy"
69,Hero Hoodie,"Việc phối màu xám và đen khiến bạn trở nên khác biệt vì Hero hoodie giúp bạn giữ ấm trên xe buýt, khuôn viên trường hoặc những con phố lạnh lẽo. Túi xéo cỡ lớn phía trước giúp bạn giữ phong cách thật sự. . . thuận lợi.","Vải: 100% Cotton
Giặt: Giặt máy"
70,Alcis Women Blue Solid Sporty Jacket,Chiếc áo khoác màu xanh hải quân hàng đầu này của Alcis rất thoải mái và dễ phối lớp. Đây sẽ là chiếc áo khoác phù hợp cho bạn vào mùa thu này,"Vải: 100% Polyester
Giặt: Giặt máy"
71,Alcis Women Grey Solid Sporty Jacket,Chiếc áo khoác cao cấp nhất của Alcis này rất thoải mái và dễ phối lớp. Đây sẽ là chiếc áo khoác phù hợp cho bạn vào mùa thu này,"Vải: 100% Polyester
Giặt: Giặt máy"
72,Augusta Pullover Jacket,"Đây là sự bổ sung hoàn hảo cho đồng phục của bạn trong và ngoài sân thi đấu. Với nhãn móc treo, khóa kéo phía trước, mũ trùm đầu ba ngăn có dây rút và túi đựng phía trước, phong cách cổ điển này sẽ là lựa chọn đầu tiên của bạn từ mùa này sang mùa khác.","Vải:  51% recycled polyester, 42% cotton and 7% rayon
Giặt: Giặt máy"
74,Joust Duffle Bag,"Không thể đánh bại Túi Duffle Joust thể thao - không trong phòng tập thể dục, không trên băng chuyền hành lý, không ở bất cứ đâu. Đủ lớn để chở một số giày thể thao với nhiều chỗ trống. Điều gì có thể phù hợp hơn để sử dụng khi luyện tập thể thao?","Vải: Canvas, Cotton
Giặt: Giặt tay"
75,Strive Shoulder Pack,"Sự tiện lợi sẽ gần như không còn gì khi một ngày của bạn tràn ngập hoạt động. Và hơn hết, nó cũng sẽ rất hoàn hảo khi phối cùng trang phục mùa thu của bạn","Vải: Vải: Nylon, Polyester
Giặt: Giặt tay"
77,Crown Summit Backpack,"Ba lô Crown Summit vừa phù hợp trong tủ khóa phòng gym, góc học tập hay lều trại. Vì vậy hãy sử dụng chúng để mang đi luyện tập thể thao cùng bạn","Vải: Nylon, Polyester
Giặt: Giặt tay"
78,Rival Field Messenger,"Túi đeo Rival Field Messenger chứa tất cả những vật dụng cần thiết cho khuôn viên trường, phòng thu hoặc đường mòn của bạn bên trong thiết kế độc đáo với chất liệu da mềm, có kết cấu đầy phong cách. ","Vải: Da, Nylon, Suede
Giặt: Giặt tay"